name,地點,lat,lng,type
臺北市 私立立人國際國民中小學,,25.0298,121.5519,PRI
臺北市 市立大安國小,,25.02001,121.5491,PRI
臺北市 市立仁愛國小,,25.03584,121.5521,PRI
臺北市 市立銘傳國小,,25.01404,121.5354,PRI
臺北市 市立建安國小補校,,25.02935,121.5462,PRI
臺北市 私立光仁小學,,25.02145,121.4997,PRI
臺北市 市立東園國小,,25.02298,121.498,PRI
臺北市 市立萬大國小,,25.02351,121.4997,PRI
臺北市 市立老松國小,,25.03809,121.5026,PRI
臺北市 市立雙園國小補校,,25.03095,121.4982,PRI
臺北市 市立新和國小,,25.02653,121.5031,PRI
臺北市 市立大理國小,,25.03116,121.4931,PRI
臺北市 市立華江國小,,25.0341,121.4913,PRI
