土地區段位置或建物區門牌,lng,lat,cluster
臺北市松山區基隆路一段190巷1號,121.5644,25.04208,1
臺北市大安區忠孝東路三段217巷3弄1號,121.5396,25.04278,3
臺北市中山區新生北路二段45巷1號,121.5286,25.05563,3
臺北市士林區福林路100巷1號,121.5326,25.09656,2
臺北市松山區敦化南路一段100巷7弄1號,121.5481,25.04566,3
臺北市南港區興南街61號,121.6005,25.05598,4
臺北市大安區永康街47巷31號,121.5311,25.0304,3
臺北市大安區四維路192巷1號,121.5473,25.02699,3
臺北市中山區松江路69巷1號,121.5334,25.04944,3
臺北市北投區吉利街151號,121.5077,25.11867,1
臺北市士林區至誠路二段92巷9弄1號,121.5276,25.10211,4
臺北市士林區忠誠路二段1號,121.5306,25.1086,4
臺北市大安區大安路一段211號,121.5461,25.03504,3
臺北市大安區忠孝東路四段216巷32弄1號,121.5527,25.04002,3
臺北市大安區羅斯福路二段101巷1號,121.5263,25.02464,3
臺北市士林區至誠路一段271號,121.5317,25.10188,2
臺北市大安區建國南路一段271號,121.5385,25.03688,3
臺北市大安區忠孝東路四段170巷6弄1號,121.5507,25.04093,3
臺北市大安區忠孝東路三段217巷6弄1號,121.5398,25.04345,3
臺北市中正區杭州南路一段131巷1號,121.5264,25.03612,3
臺北市大安區和平東路二段107巷1號,121.5404,25.02637,1
臺北市南港區忠孝東路六段121號,121.5856,25.04844,1
臺北市北投區中正路201巷61號,121.5273,25.09362,1
臺北市信義區仁愛路四段511號,121.5612,25.03747,3
臺北市松山區光復北路211號,121.5552,25.05978,1
臺北市文山區景美街5巷1號,121.5418,24.99344,1
臺北市信義區忠孝東路四段553巷31號,121.5628,25.04348,1
臺北市中山區一江街31號,121.5316,25.05335,3
臺北市信義區莊敬路289巷1號,121.5642,25.02924,3
臺北市信義區永吉路225巷5弄1號,121.5744,25.04649,3
臺北市松山區光復北路26巷1號,121.5574,25.04915,3
臺北市內湖區成功路五段421號,121.6073,25.07548,2
臺北市松山區敦化北路155巷1號,121.5497,25.0542,3
臺北市松山區民生東路五段69巷4弄1號,121.5583,25.06003,2
臺北市信義區忠孝東路五段423巷5弄1號,121.5753,25.04166,1
臺北市中山區興安街61號,121.5425,25.05624,3
臺北市大安區大安路二段122巷1號,121.5462,25.0321,3
臺北市信義區松德路61號,121.5768,25.03855,1
臺北市內湖區文德路22巷44弄91號,121.581,25.07641,1
臺北市中山區樂群二路116巷31號,121.5536,25.07763,2
臺北市大安區青田街5巷17弄1號,121.5325,25.02891,1
臺北市信義區忠孝東路五段451號,121.5763,25.0411,1
臺北市大安區復興南路二段90巷1號,121.5438,25.02855,3
臺北市大安區新生南路一段103巷31號,121.5354,25.04075,4
臺北市中山區大直街31號,121.5464,25.0819,1
臺北市大安區金華街106巷1號,121.5259,25.03003,3
臺北市中正區泰安街2巷1號,121.528,25.04039,3
臺北市中山區龍江路241號,121.5408,25.05844,3
臺北市信義區松德路121號,121.5756,25.03772,1
臺北市信義區忠孝東路四段511號,121.5606,25.04134,1
臺北市大安區杭州南路二段61巷1號,121.5223,25.03039,3
臺北市大安區麗水街13巷1號,121.5287,25.03027,3
臺北市南港區重陽路451號,121.6102,25.05946,4
臺北市信義區忠孝東路五段423巷31號,121.5753,25.04231,1
臺北市中山區松江路77巷1號,121.5344,25.04963,3
臺北市北投區東華街一段31號,121.505,25.12159,1
臺北市中正區延平南路163巷1號,121.5079,25.03521,1
臺北市士林區基河路1號,121.525,25.08631,1
臺北市大安區新生南路一段157巷1號,121.5331,25.03509,3
臺北市信義區逸仙路42巷1號,121.5619,25.0403,3
臺北市中正區金山南路一段110巷1號,121.5261,25.03533,3
臺北市大安區仁愛路三段5巷3弄1號,121.5335,25.03967,3
臺北市大安區敦化南路一段177巷31號,121.551,25.04311,3
臺北市大安區潮州街107巷1號,121.5278,25.02924,3
臺北市中山區敬業三路177巷1號,121.5573,25.07916,1
臺北市內湖區金湖路121號,121.5985,25.08024,1
臺北市大安區信義路二段198巷31號,121.5312,25.03095,3
臺北市士林區至誠路一段62巷3弄1號,121.5356,25.1022,2
臺北市中山區合江街58巷1號,121.5389,25.05583,3
臺北市大安區瑞安街61號,121.5417,25.02897,3
臺北市松山區富錦街331號,121.5565,25.06044,1
臺北市大安區泰順街60巷1號,121.5295,25.02257,1
臺北市松山區健康路211號,121.5624,25.05412,3
臺北市大安區金華街91號,121.522,25.03137,3
臺北市松山區光復北路181號,121.5554,25.05872,1
臺北市大安區安和路二段32巷1號,121.5522,25.03177,3
臺北市大安區敦化南路二段31號,121.5492,25.03228,3
臺北市大安區信義路三段31巷1號,121.5346,25.03527,3
臺北市松山區八德路三段74巷31號,121.5526,25.04683,3
臺北市中正區杭州南路二段91號,121.5218,25.02862,3
臺北市內湖區內湖路三段31號,121.5926,25.08509,4
臺北市大安區大安路二段27巷1號,121.5462,25.0321,3
臺北市松山區南京東路三段335巷1號,121.5477,25.05336,3
臺北市大安區新生南路二段1號,121.5356,25.03106,1
臺北市松山區南京東路五段291巷20弄1號,121.566,25.0525,3
臺北市大安區新生南路三段11巷1號,121.5353,25.02546,1
臺北市內湖區成功路二段271號,121.5905,25.06682,1
臺北市大安區金華街172巷1號,121.5317,25.02934,3
臺北市信義區莊敬路391巷1號,121.5657,25.02823,4
臺北市大安區永康街37巷1號,121.531,25.03107,1
臺北市信義區光復南路473巷1號,121.5579,25.0339,3
臺北市北投區吉利街149巷1號,121.5076,25.11885,1
臺北市大安區大安路一段116巷1號,121.5458,25.0399,3
臺北市大安區大安路一段91號,121.5463,25.04067,3
臺北市士林區承德路四段31號,121.5225,25.08057,2
臺北市大安區瑞安街81巷12弄1號,121.5407,25.03085,1
臺北市中山區大直街61號,121.5464,25.08346,2
臺北市信義區松山路481號,121.578,25.0392,1
臺北市信義區松山路511號,121.5781,25.0387,1
臺北市信義區紫雲街31號,121.5747,25.01804,2
臺北市大安區瑞安街142巷1號,121.5442,25.03114,3
臺北市內湖區金湖路326巷31號,121.596,25.08293,4
臺北市士林區前街43巷1號,121.5255,25.09768,1
臺北市松山區光復北路60巷1號,121.5565,25.04984,3
臺北市中山區合江街91號,121.5393,25.05939,3
臺北市信義區松勤街61號,121.5641,25.03201,3
臺北市中正區臨沂街33巷31號,121.5317,25.04003,3
臺北市內湖區康寧路三段31號,121.6071,25.07294,1
臺北市信義區松山路540巷1號,121.578,25.0376,1
臺北市大安區新生南路三段1號,121.5345,25.02515,1
臺北市大安區四維路170巷1號,121.5478,25.02832,3
臺北市大同區重慶北路三段223巷31號,121.5152,25.07057,4
臺北市中山區南京東路三段89巷5弄1號,121.5391,25.05291,3
臺北市中山區朱崙街31號,121.5409,25.05009,3
臺北市中山區中山區八德路二段137巷1號,121.5375,25.04649,3
臺北市信義區光復南路417巷31號,121.5612,25.03623,3
臺北市大安區復興南路一段135巷1號,121.5442,25.04282,3
臺北市內湖區星雲街151號,121.5956,25.0802,4
臺北市大安區敦化南路二段91號,121.5493,25.03263,3
臺北市大安區光復南路631號,121.5574,25.03307,3
臺北市大安區信義路二段86巷1號,121.5246,25.03382,1
臺北市中山區吉林路14巷1號,121.5298,25.05064,3
臺北市大安區建國南路一段286巷1號,121.5372,25.03615,1
臺北市松山區延壽街61號,121.5677,25.05721,1
臺北市大安區忠孝東路三段217巷1弄1號,121.5396,25.04223,3
臺北市大安區杭州南路二段65巷31號,121.5235,25.03366,1
臺北市松山區延壽街91號,121.5666,25.05725,1
